date,delay,distance,origin,destination
01011425,92,1495,SEA,ORD
01010715,-7,2104,SEA,JFK
01010830,-5,1442,SEA,DFW
01012205,-3,2367,SEA,MIA
01010600,-3,1442,SEA,DFW
01012320,1,1442,SEA,DFW
01010820,-10,1495,SEA,ORD
01010710,-6,1442,SEA,DFW
01011115,-2,1442,SEA,DFW
01011205,-3,1495,SEA,ORD
01010600,0,1495,SEA,ORD
01011545,23,1442,SEA,DFW
01011350,36,1442,SEA,DFW
01021425,298,1495,SEA,ORD
01020715,4,2104,SEA,JFK
01020830,0,1442,SEA,DFW
01022205,2,2367,SEA,MIA
01020600,0,1442,SEA,DFW
01022320,0,1442,SEA,DFW
01020820,83,1495,SEA,ORD
01020710,2,1442,SEA,DFW
01021115,38,1442,SEA,DFW
01021205,41,1495,SEA,ORD
01020600,2,1495,SEA,ORD
01021545,12,1442,SEA,DFW
01021350,45,1442,SEA,DFW
01031425,33,1495,SEA,ORD
01030715,0,2104,SEA,JFK
01030830,-2,1442,SEA,DFW
01032205,-3,2367,SEA,MIA
01030600,-1,1442,SEA,DFW
01032320,28,1442,SEA,DFW
01030820,2,1495,SEA,ORD
01030710,-4,1442,SEA,DFW
01031115,24,1442,SEA,DFW
01031205,82,1495,SEA,ORD
01030600,103,1495,SEA,ORD
01031545,2,1442,SEA,DFW
01031350,44,1442,SEA,DFW
01040715,0,2104,SEA,JFK
01040830,-4,1442,SEA,DFW
01042205,-1,2367,SEA,MIA
01040600,8,1442,SEA,DFW
01042320,43,1442,SEA,DFW
01040820,0,1495,SEA,ORD
01040710,3,1442,SEA,DFW
01041115,-1,1442,SEA,DFW
01041205,6,1495,SEA,ORD
01040600,-2,1495,SEA,ORD
01041350,48,1442,SEA,DFW
01051425,72,1495,SEA,ORD
01050715,32,2104,SEA,JFK
01050830,49,1442,SEA,DFW
01052205,57,2367,SEA,MIA
01050600,32,1442,SEA,DFW
01052320,63,1442,SEA,DFW
01050820,41,1495,SEA,ORD
01050710,6,1442,SEA,DFW
01051115,23,1442,SEA,DFW
01051205,36,1495,SEA,ORD
01050600,41,1495,SEA,ORD
01051545,5,1442,SEA,DFW
01051350,23,1442,SEA,DFW
01061425,0,1495,SEA,ORD
01060715,53,2104,SEA,JFK
01060830,116,1442,SEA,DFW
01062205,-4,2367,SEA,MIA
01060600,3,1442,SEA,DFW
01062320,65,1442,SEA,DFW
01060820,0,1495,SEA,ORD
01060710,2,1442,SEA,DFW
01061115,34,1442,SEA,DFW
01061205,-8,1495,SEA,ORD
01060600,0,1495,SEA,ORD
01061545,41,1442,SEA,DFW
01061350,0,1442,SEA,DFW
01071425,48,1495,SEA,ORD
01070715,-4,2104,SEA,JFK
01070830,3,1442,SEA,DFW
01072205,41,2367,SEA,MIA
01070600,2,1442,SEA,DFW
01072320,-1,1442,SEA,DFW
01070820,-2,1495,SEA,ORD
01070710,-2,1442,SEA,DFW
01071115,10,1442,SEA,DFW
01071205,-3,1495,SEA,ORD
01070600,-5,1495,SEA,ORD
01071545,8,1442,SEA,DFW
01071350,50,1442,SEA,DFW
01081420,0,1495,SEA,ORD
01080715,-5,2104,SEA,JFK
01080830,1,1442,SEA,DFW
01082205,27,2367,SEA,MIA
01080600,0,1442,SEA,DFW
01082320,8,1442,SEA,DFW
01080815,-2,1495,SEA,ORD
01080710,-2,1442,SEA,DFW
01081115,2,1442,SEA,DFW
01081205,135,1495,SEA,ORD
01080600,-3,1495,SEA,ORD
01081545,2,1442,SEA,DFW
01081350,53,1442,SEA,DFW
01091420,-1,1495,SEA,ORD
01090715,-5,2104,SEA,JFK
01090830,-4,1442,SEA,DFW
01092205,4,2367,SEA,MIA
01090600,-2,1442,SEA,DFW
01092320,19,1442,SEA,DFW
01090815,-12,1495,SEA,ORD
01090710,-4,1442,SEA,DFW
01091115,-2,1442,SEA,DFW
01091205,-7,1495,SEA,ORD
01090600,-6,1495,SEA,ORD
01091545,25,1442,SEA,DFW
01091350,27,1442,SEA,DFW
01101420,5,1495,SEA,ORD
01100715,-9,2104,SEA,JFK
01100830,0,1442,SEA,DFW
01102205,88,2367,SEA,MIA
01100600,-5,1442,SEA,DFW
01102320,56,1442,SEA,DFW
01100815,60,1495,SEA,ORD
01100710,19,1442,SEA,DFW
01101115,33,1442,SEA,DFW
01101205,2,1495,SEA,ORD
01100600,-2,1495,SEA,ORD
01101545,19,1442,SEA,DFW
01101350,16,1442,SEA,DFW
01110715,3,2104,SEA,JFK
01110830,-7,1442,SEA,DFW
01112205,101,2367,SEA,MIA
01110600,2,1442,SEA,DFW
01112320,24,1442,SEA,DFW
01110815,-10,1495,SEA,ORD
01110710,-1,1442,SEA,DFW
01111115,12,1442,SEA,DFW
01111205,-9,1495,SEA,ORD
01110600,-7,1495,SEA,ORD
01111350,5,1442,SEA,DFW
01121420,23,1495,SEA,ORD
01120715,0,2104,SEA,JFK
01120830,1,1442,SEA,DFW
01122205,7,2367,SEA,MIA
01120600,-5,1442,SEA,DFW
01122320,3,1442,SEA,DFW
01120815,0,1495,SEA,ORD
01120710,-2,1442,SEA,DFW
01121115,2,1442,SEA,DFW
01121205,-3,1495,SEA,ORD
01120600,-4,1495,SEA,ORD
01121545,9,1442,SEA,DFW
01121350,13,1442,SEA,DFW
01131420,12,1495,SEA,ORD
01130715,-4,2104,SEA,JFK
01130830,2,1442,SEA,DFW
01132205,62,2367,SEA,MIA
01130600,-3,1442,SEA,DFW
01132320,-7,1442,SEA,DFW
01130815,-7,1495,SEA,ORD
01130710,0,1442,SEA,DFW
01131115,6,1442,SEA,DFW
01131205,-2,1495,SEA,ORD
01130600,-3,1495,SEA,ORD
01131545,-2,1442,SEA,DFW
01131350,16,1442,SEA,DFW
01141420,-5,1495,SEA,ORD
01140715,-10,2104,SEA,JFK
01140830,-5,1442,SEA,DFW
